original_id	work_title	work_authors	authors_lifetime	work_publication_year	work_category	file_format	notes	original_source
Como eu atravessei Àfrica do Atlantico ao mar Indico - Vol. I|Pinto, Serpa	Como eu atravessei Àfrica do Atlantico ao mar Indico - Vol. I	Pinto, Serpa	1846-1900	1881	Literatura de Viagem	HTML, EPUB, MOBI e TXT		Project Gutenberg
Como eu atravessei Àfrica do Atlantico ao mar Indico - Vol. II|Pinto, Serpa	Como eu atravessei Àfrica do Atlantico ao mar Indico - Vol. II	Pinto, Serpa	1846-1900	1881	Literatura de Viagem	HTML, EPUB, MOBI e TXT		Project Gutenberg
Camillo Castello Branco|Pinto, Silva	Camillo Castello Branco	Pinto, Silva	1848-1911	1889	Ensaio  Literatura	HTML, EPUB, MOBI e TXT		Project Gutenberg
Contos Populares Alentejanos|Pires, António Tomás	Contos Populares Alentejanos	Pires, António Tomás	1850-1913	1992	Contos	PDF		Biblioteca Digital do Alentejo
Camões e o amor|Pires, Ernesto	Camões e o amor	Pires, Ernesto	1857-1884	1884	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Cícero|Plutarco	Cícero	Plutarco	Ca 50-120		Biografia	PDF	Fonte Original: CultVox	Portal Domínio Público
O Ateneu|Pompéia, Raul	O Ateneu	Pompéia, Raul	1863-1895		Romance	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
14 de Julho na roça|Pompéia, Raul	14 de Julho na roça	Pompéia, Raul	1863-1895		Contos	PDF	Fonte Original: Biblioteca Virtual de Literatura	Portal Domínio Público
O Ateneu|Pompéia, Raul	O Ateneu	Pompéia, Raul	1863-1895	1996	Romance	PDF	Fonte Original: Biblioteca Virtual do Estudante Brasileiro / USP	Portal Domínio Público
Epistola de Heloysa a Abaylard|Pope, Alexander	Epistola de Heloysa a Abaylard	Pope, Alexander	1688-1744	1801	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Silva Porto e Livingstone|Porto, António Francisco Ferreira da Silva	Silva Porto e Livingstone	Porto, António Francisco Ferreira da Silva	1817-1890	1891	Literatura de Viagem	HTML, EPUB, MOBI e TXT		Project Gutenberg
